WKT,nama,deskripsi
"POINT (106.2522143 -6.564395600000001)",Kabupaten Lebak,
"POINT (105.6881788 -6.7482706)",Kabupaten Pandeglang,
"POINT (106.040506 -6.1397339)",Kabupaten Serang,
"POINT (106.487658 -6.1870007)",Kabupaten Tangerang,
"POINT (106.0558218 -6.0186817)",Cilegon,
"POINT (106.1538519 -6.1169309)",Serang,
"POINT (106.6403236 -6.1701796)",Tangerang,
"POINT (106.7112933 -6.2835218)",Tangerang Selatan,
