WKT,nama,deskripsi
"POINT (106.5996686 -5.7392014)",Kabupaten Administrasi Kepulauan Seribu,
"POINT (106.7637239 -6.167430899999999)",Jakarta Barat,
"POINT (106.8283831 -6.1805113)",Jakarta Pusat,
"POINT (106.8105998 -6.2614927)",Jakarta Selatan,
"POINT (106.9004472 -6.2250138)",Jakarta Timur,
"POINT (106.8926634 -6.155405699999999)",Jakarta Utara,
