WKT,nama,deskripsi
"POINT (110.3785438 -7.919016900000001)",Kabupaten Bantul,
"POINT (110.6168921 -8.0305091)",Kabupaten Gunung Kidul,
"POINT (110.1640846 -7.8266798)",Kabupaten Kulon Progo,
"POINT (110.402376 -7.732521299999999)",Kabupaten Sleman,
"POINT (110.3647568 -7.801367200000001)",Yogyakarta,
